classe,miroir_polymarket,volume_usd,categorie,titre
A,1,0,"Crypto","Bank of Japan Decision in October?"
A,1,0,"Crypto","Bank of England decision in November?"
A,1,0,"Crypto","Bank of Brazil decision in November?"
A,1,0,"Crypto","ECB Interest Rates: October 2026"
A,1,0,"Crypto","Bank of Korea decision in November?"
A,1,8,"Crypto","Bank of Korea decision in October?"
B,1,20,"Politics","Will Donald Trump attend UFC 333?"
B,1,0,"Politics","Ruben Gallego out as Senator?"
C,1,0,"Politics","When will Big Bend border construction resume?"
C,1,0,"Politics","Will Trump declare an election emergency?"
A,1,0,"Politics","WI-04 House Election Winner"
A,1,3,"Politics","Israeli Legislative Election Winner"
A,1,0,"Politics","Wyoming Senate Election Margin of Victory"
A,1,0,"Politics","Tallahassee Mayoral Election Winner"
A,1,1358,"Specials","Ballon d'Or Winner 2026"
A,1,106,"Crypto","South Korea GDP growth (YoY) in Q3 2026?"
A,1,2150,"Politics","Which party will win the House in 2026?"
A,1,124,"Crypto","Balance of Power: 2026 Midterms"
A,1,22,"Crypto","Which party will win the Senate in 2026?"
A,1,5,"Crypto","Another Fed rate hike in 2026?"
A,1,0,"Crypto","ECB Interest Rates: December 2026"
B,1,3506,"Crypto","OpenAI IPO by __?"
A,1,4740,"Esports","Will ZywOo reach 36 HLTV MVP awards by December 31, 2026?"
C,1,0,"Crypto","What will Costco say during their next earnings call?"
A,1,35,"Crypto","How low will 5-year Treasury yield get before 2027?"
B,1,12,"Politics","Will another country leave OPEC in 2026?"
C,1,0,"Politics","Venezuela leader end of 2026?"
B,1,0,"Politics","Xi Jinping out before 2027?"
C,1,7,"Politics","Will the U.S. invade Iran before 2027?"
C,1,13,"Politics","Strait of Hormuz traffic returns to normal by December 31?"
B,1,125,"Football","Will Lionel Messi announce his retirement in 2026?"
B,0,22,"Specials","Glazer family to sell Manchester United by Dec. 31, 2026?"
B,0,3184,"中文预测专区","Wang Shi and Tian Pujun to announce divorce before 2027?"
B,0,244,"Specials","Premier League manager to be sacked by December 31, 2026"
B,0,1360,"Specials","Messi to play for Argentina again after the 2026 WC by Dec 31, 2026"
C,0,45621,"Sports","Will Thorin appear as an analyst at an S-Tier CS tournament in 2026?"
C,0,33855,"Sports","Will jL appear as an analyst at an S-Tier CS tournament in 2026?"
A,0,1669,"Pre-TGE","Veera FDV above $200M one day after launch?"
A,0,1168,"Pre-TGE","Veera FDV above $150M one day after launch?"
A,0,2776,"Pre-TGE","Veera FDV above $100M one day after launch?"
A,0,2777,"Pre-TGE","Veera FDV above $50M one day after launch?"
A,0,1026,"Economy","Will Dubai Real Estate Index reach a new all-time high in 2026?"
A,1,747,"Crypto","How many SpaceX Starship launches reach space in 2026?"
A,1,118,"Crypto","South Korea Annual Inflation 2026"
A,1,0,"Crypto","Oura IPO Closing Market Cap"
B,1,197,"Crypto","Will Apple release a foldable iPhone by...?"
B,1,1,"Sports","Will Max Verstappen retire from F1 in 2026?"
B,1,3498,"Company News","Anthropic acquired before 2027?"
A,1,17931,"Pre-TGE","Opensea FDV above $1B one day after launch?"
A,1,17470,"Pre-TGE","Opensea FDV above $3B one day after launch?"
A,1,26225,"Pre-TGE","Opensea FDV above $500M one day after launch?"
A,1,15675,"Pre-TGE","Metamask FDV above $700M one day after launch?"
A,1,11163,"Pre-TGE","Metamask FDV above $1B one day after launch?"
A,1,8628,"Pre-TGE","Metamask FDV above $2B one day after launch?"
B,1,6173,"Pre-TGE","Will Ostium launch a token by December 31, 2026?"
A,1,3166,"Pre-TGE","Theo FDV above $700M one day after launch?"
A,1,4298,"Pre-TGE","Pacifica FDV above $800M one day after launch?"
A,1,1184,"Pre-TGE","Pacifica FDV above $500M one day after launch?"
A,1,3208,"Pre-TGE","Pacifica FDV above $300M one day after launch?"
A,1,2133,"Pre-TGE","StandX FDV above $2B one day after launch?"
A,1,3799,"Pre-TGE","StandX FDV above $1B one day after launch?"
A,1,7431,"Pre-TGE","StandX FDV above $800M one day after launch?"
A,1,16144,"Pre-TGE","Puffpaw FDV above $50M one day after launch?"
A,1,12124,"Pre-TGE","Puffpaw FDV above $200M one day after launch?"
A,1,7683,"Pre-TGE","Puffpaw FDV above $100M one day after launch?"
A,1,7710,"Pre-TGE","Puffpaw FDV above $300M one day after launch?"
B,1,1785,"Pre-TGE","Will Pacifica launch a token by December 31, 2026?"
A,1,2289,"Pre-TGE","Theo FDV above $300M one day after launch?"
A,1,2354,"Pre-TGE","Theo FDV above $100M one day after launch?"
C,1,0,"Specials","Will Harry Kane be Knighted in 2026?"
A,1,0,"Specials","Will Manchester United men's football win at least 5 games in a row this"
C,1,25661,"Politics","Will Trump acquire Greenland before 2027?"
B,1,5916,"Politics","Trump out as President before 2027?"
B,1,0,"Politics","Crypto Market Structure legislation becomes law in 2026?"
C,1,13,"Politics","Will the US acquire part of Greenland in 2026?"
B,1,0,"Politics","US x China tariff agreement by December 31?"
C,1,0,"Politics","China x Philippines military clash before 2027?"
C,1,0,"Politics","Will the Iranian regime fall before 2027?"
B,1,1067,"Specials","Will Cristiano Ronaldo announce his retirement in 2026?"
B,1,2469,"Politics","Netanyahu out by end of 2026?"
C,1,10418,"Politics","Will China invade Taiwan by end of 2026?"
B,1,2577,"Company News","Will Stripe acquire Paypal in 2026?"
A,1,5386,"Crypto","Solana all time high by ___?"
A,1,12103,"Crypto","Bitcoin all time high by ___?"
A,1,263,"Crypto","XRP all time high by ___?"
B,1,9918,"Crypto","US national Bitcoin reserve before 2027?"
B,1,2268,"Crypto","US national Ethereum reserve before 2027?"
A,1,2412,"Crypto","Will stablecoins hit $500B before 2027?"
A,1,1522,"Pre-TGE","Reya FDV above $300M one day after launch?"
A,1,2123,"Pre-TGE","Reya FDV above $200M one day after launch?"
A,1,3233,"Pre-TGE","Reya FDV above $150M one day after launch?"
A,0,64685,"Company News","Stripe next round valuation"
A,1,5783,"Economy","What level will the Dubai Real Estate Index hit in 2026?"
A,1,15798,"Crypto","Ethereum all time high by ___?"
B,1,500,"Esports","Worlds 2026 Winning Region"
A,1,42,"Crypto","STRC hits $100 by…"
B,1,242,"Company News","Will MicroStrategy announce holding 1M+ BTC by December 31, 2026?"
B,1,0,"Politics","Tim Walz out as Governor of Minnesota?"
B,1,0,"Politics","Who will Trump pardon before 2027?"
B,1,497,"Politics","Who will Trump meet with in 2026?"
B,1,0,"Politics","Heidi Overton confirmed as FDA Commissioner by...?"
B,1,0,"Politics","Jeanine Pirro out as D.C. U.S. Attorney by...?"
B,1,0,"Politics","Which countries will Trump make new trade deals with before 2027?"
C,1,0,"Politics","María Corina Machado enters Venezuela by...?"
B,1,0,"Politics","Which countries will Donald Trump visit in 2026?"
B,1,0,"Politics","Kash Patel out by...?"
B,1,0,"Politics","Will Samuel Alito announce his retirement by...?"
B,1,0,"Politics","Will Netanyahu visit New York City by...?"
C,1,2,"Politics","Will the US confirm that aliens exist by...?"
C,1,0,"Politics","Who will attend a round of US-Iran peace talks by December 31?"
C,1,0,"Politics","Bab el-Mandeb Strait effectively closed by...?"
C,1,106,"Politics","US announces end of Iranian blockade by...?"
C,1,0,"Politics","Kharg Island no longer under Iranian control by...?"
C,1,0,"Politics","Mojtaba Khamenei public appearance by...?"
C,1,0,"Politics","Iran charges Hormuz fees by...?"
C,1,2,"Politics","Next round of US-Iran peace talks by...?"
B,1,0,"Politics","US-Iran Final Nuclear Deal by…?"
C,1,0,"Politics","Where will Zelenskyy and Putin meet next before 2027?"
A,1,2513,"Financials","Will ground beef hit __ in 2026?"
A,0,423,"Specials","Dumfries to make 10+ La Liga appearances for Real Madrid in 2026-27"
C,1,0,"Esports","League of Legends Global Power Rankings Post Worlds: Rank 1"
A,1,0,"Crypto","What price will Ethereum hit in 2026?"
A,1,0,"Sports","Pro Football: 2027 Champion"
A,1,0,"Crypto","How many Semi Trucks will Tesla Produce in a quarter in 2026?"
B,1,98,"Crypto","Clarity Act (H.R.3633) signed into law in 2026?"
C,1,0,"Crypto","More tech layoffs in 2026 than in 2025?"
B,1,24,"Crypto","Will Revolut launch a USD stablecoin in 2026?"
B,1,0,"Politics","Will James Comey’s criminal case be dismissed?"
B,1,0,"Politics","Will the SAVE America Act become law?"
B,1,0,"Politics","Who will leave their role in the Trump administration in 2026?"
A,1,0,"Politics","How low will Trump's approval rating go in 2026?"
A,1,0,"Specials","UEFA Europa League: 2027 Champion"
A,1,67,"Crypto","Next Senate Majority Leader?"
A,1,5642,"Economy","US recession by end of 2026?"
A,1,0,"Specials","Bundesliga: 2027 Champion"
A,1,427,"Specials","LALIGA: 2027 Champion"
A,1,264,"Specials","UEFA Champions League: 2027 Champion"
A,1,0,"Specials","Serie A: 2027 Champion"
A,1,40,"Specials","Ligue 1: 2027 Champion"
B,0,49,"Specials","FIFA to confirm 64-team 2030 World Cup by January 31, 2027"
A,1,24678,"Sports","F1 Drivers' Champion"
A,1,6585,"Sports","F1 Constructors' Champion"
A,0,966,"Earnings","AST SpaceMobile BlueBird satellites in orbit above __ in Q4 2026?"
B,1,750,"Crypto","Will Base launch a token by __ ?"
B,1,0,"Crypto","Jumper listed on ___ within 30 days of TGE?"
A,1,0,"Crypto","Jumper FDV one day after launch?"
A,1,0,"Crypto","EFL Championship: Promotion"
A,1,0,"Specials","Bundesliga: Relegation"
A,1,4,"Specials","English Premier League: Top 4 Finishers (2026-27)"
A,0,419,"Specials","Tottenham to finish the 2026/27 Premier League season in the Top 3"
A,1,0,"Specials","English Premier League: Relegation"
B,1,0,"Crypto","Anthropic IPO by __?"
A,1,0,"Crypto","What will OpenAI's IPO valuation be?"
A,1,751,"Financials","Anthropic IPO Closing Market Cap (Middle Brackets)"
A,1,0,"NHL","NHL: 2027 Western Conference Champion"
A,1,0,"NHL","NHL: 2027 Eastern Conference Champion"
B,1,0,"Crypto","Kimi (Moonshot AI) IPO by...?"
A,1,0,"Specials","Champions League Golden Boot"
A,1,0,"Specials","LaLiga: Top Goalscorer 2026-27"
A,1,0,"Football","English Premier League: Top Goalscorer 2026-27"
A,1,144,"Specials","2026/27 English Premier League Winner "
A,1,4011,"Politics","Who will be the next Prime Minister of Israel after next election?"
A,1,117,"Specials","Primeira Liga: 2027 Champion"
B,1,53,"Crypto","Will Arc launch a token by ___ ?"
A,1,12391,"Politics","Democratic Presidential Nominee 2028"
A,1,2762,"Politics","Next French Presidential Election"
A,1,111,"Sports","NHL: 2027 Champion"
A,1,15,"Sports","NBA: 2027 Champion"
B,1,1424,"Crypto","Will Ink launch a token by ___?"
B,1,0,"Crypto","Payward announces bankruptcy by...?"
A,1,16387,"Politics","Republican Presidential Nominee 2028"
A,1,2070,"Politics","Which party wins 2028 US Presidential Election?"
A,1,17000,"Politics","Presidential Election Winner 2028"
